"id","presente","id_vereador","id_sessao","timestamp"
3428,true,39,169,2019-11-26 23:17:17
3429,true,39,170,2019-11-26 23:17:17
3430,true,39,172,2019-11-26 23:17:17
3431,true,39,173,2019-11-26 23:17:17
3432,true,39,174,2019-11-26 23:17:18
3433,true,39,177,2019-11-26 23:17:18
3434,true,39,178,2019-11-26 23:17:18
3435,true,39,179,2019-11-26 23:17:18
3436,true,39,180,2019-11-26 23:17:18
3437,true,39,181,2019-11-26 23:17:18
3438,true,39,182,2019-11-26 23:17:18
3439,true,39,183,2019-11-26 23:17:18
3440,true,39,184,2019-11-26 23:17:18
3441,true,39,185,2019-11-26 23:17:18
3442,true,39,186,2019-11-26 23:17:18
3443,true,39,187,2019-11-26 23:17:18
3444,true,39,188,2019-11-26 23:17:18
3445,true,39,189,2019-11-26 23:17:18
3446,true,39,190,2019-11-26 23:17:18
3447,true,39,191,2019-11-26 23:17:18
3448,true,39,192,2019-11-26 23:17:18
3449,true,39,193,2019-11-26 23:17:18
3450,true,39,194,2019-11-26 23:17:18
3451,true,40,1,2019-11-26 23:17:18
3452,true,40,4,2019-11-26 23:17:18
3453,true,40,5,2019-11-26 23:17:18
3454,true,40,7,2019-11-26 23:17:18
3455,true,40,8,2019-11-26 23:17:18
3456,true,40,9,2019-11-26 23:17:18
3457,true,40,10,2019-11-26 23:17:18
3458,true,40,11,2019-11-26 23:17:18
3459,true,40,13,2019-11-26 23:17:18
3460,true,40,15,2019-11-26 23:17:18
3461,true,40,16,2019-11-26 23:17:18
3462,true,40,17,2019-11-26 23:17:18
3463,true,40,18,2019-11-26 23:17:18
3464,true,40,21,2019-11-26 23:17:18
3465,true,40,22,2019-11-26 23:17:18
3466,true,40,23,2019-11-26 23:17:18
3467,true,40,25,2019-11-26 23:17:18
3468,true,40,26,2019-11-26 23:17:18
3469,true,40,27,2019-11-26 23:17:18
3470,true,40,28,2019-11-26 23:17:18
3471,true,40,29,2019-11-26 23:17:18
3472,true,40,31,2019-11-26 23:17:18
3473,true,40,33,2019-11-26 23:17:18
3474,true,40,34,2019-11-26 23:17:18
3475,true,40,35,2019-11-26 23:17:18
3476,true,40,36,2019-11-26 23:17:18
3477,true,40,37,2019-11-26 23:17:18
3478,true,40,38,2019-11-26 23:17:18
3479,true,40,39,2019-11-26 23:17:18
3480,true,40,43,2019-11-26 23:17:18
3481,true,40,46,2019-11-26 23:17:18
