"id","vereador","aluguel","condominio","energia","agua","iptu_tpei","internet_telefone","trasporte_hospedagens","locacao_automovel","pecas_veiculos","servicos","material_expediente","locacao_equipamentos","assinaturas_jornais","servicos_graficos","total_apresentado","glosa","pago_no_mes","media_mensal","media_mensal_acumulada","data","timestamp","id_vereador"
1216,FRED FERREIRA,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,4600,0.1,4599.9,4523.285,0,"2018/04",2019-11-24 21:49:04,29
1200,EDUARDO MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/12",2019-11-24 21:49:03,32
1232,GILBERTO ALVES,0,0,0,0,0,0,0,4553,0,0,0,0,0,0,4553,0,4553,4499.0625,0,"2018/08",2019-11-24 21:49:04,5
1257,IVAN MORAES,1611.58,477.48,558,0,0,1036.53,0,0,0,0,103.6,0,0,0,3787.19,12.02,3775.17,3884.1499999999996,0,"2018/09",2019-11-24 21:49:04,41
1242,HÉLIO GUABIRARA,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,6000,1400,4600,4600,0,"2018/06",2019-11-24 21:49:04,37
1265,JAYME ASFORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2842.0679999999998,0,"2018/05",2019-11-24 21:49:04,12
1233,GILBERTO ALVES,0,0,0,0,0,0,0,4553,0,0,0,0,0,0,4553,0,4553,4505.055555555556,0,"2018/09",2019-11-24 21:49:04,5
1261,JAYME ASFORA,3150,0,0,0,0,236.87,0,0,0,0,150.7,0,0,0,3537.5699999999997,0,3537.5699999999997,3537.5699999999997,0,"2018/01",2019-11-24 21:49:04,12
1255,IVAN MORAES,1611.58,477.48,434.11,0,0,644.99,0,0,0,0,44,0,0,0,3212.16,0,3212.16,3861.5014285714287,0,"2018/07",2019-11-24 21:49:04,41
1263,JAYME ASFORA,3150,0,0,0,0,209.54,0,0,0,0,272.5,0,0,0,3632.04,22.17,3609.87,3549.063333333333,0,"2018/03",2019-11-24 21:49:04,12
446,ROMERO ALBUQUERQUE,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,2000,0,2000,2000,0,"2017/02",2019-11-24 21:48:47,10
595,AUGUSTO CARRERAS,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,4200,0,4200,4200,0,"2019/07",2019-11-24 21:48:50,1
1231,GILBERTO ALVES,0,0,0,0,0,0,0,4553,0,0,0,0,0,0,4553,0,4553,4491.357142857143,0,"2018/07",2019-11-24 21:49:04,5
121,AUGUSTO CARRERAS,0,0,0,0,0,0,0,1890,0,0,0,0,0,0,1890,0,1890,1890,0,"2017/01",2019-11-24 21:48:40,1
1357,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/01",2019-11-24 21:49:06,28
532,ALMIR FERNANDO,0,0,0,0,0,205.71,0,0,1817,2000,682.1,0,0,0,4704.81,104.81,4600,3608.6324999999997,0,"2019/04",2019-11-24 21:48:49,8
241,GILBERTO ALVES,0,0,0,0,0,0,0,0,0,0,1977,0,0,0,1977,0,1977,1977,0,"2017/01",2019-11-24 21:48:43,5
529,ALMIR FERNANDO,0,0,0,0,0,205.71,0,0,0,2000,430,0,0,0,2635.71,0,2635.71,2635.71,0,"2019/01",2019-11-24 21:48:49,8
961,WANDERSON SOBRAL,2400,0,0,0,0,0,0,4940,0,0,0,0,0,0,7340,2740,4600,4600,0,"2019/01",2019-11-24 21:48:58,2
1285,JÚNIOR BOCÃO,0,0,0,0,0,0,0,4699.91,0,0,0,0,0,0,4699.91,99.91,4600,4600,0,"2018/01",2019-11-24 21:49:05,6
1105,AUGUSTO CARRERAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/01",2019-11-24 21:49:01,1
433,ROMERINHO JATOBÁ ,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,3500,1500,2000,2000,0,"2017/01",2019-11-24 21:48:47,3
450,ROMERO ALBUQUERQUE,1800,0,0,0,0,0,0,3200.1,0,0,0,0,0,0,5000.1,400.1,4600,3300,0,"2017/06",2019-11-24 21:48:47,10
598,AUGUSTO CARRERAS,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,4200,0,4200,4200,0,"2019/10",2019-11-24 21:48:50,1
63,ALMIR FERNANDO,0,0,0,0,0,194.5,0,0,1177,0,500.5,0,0,0,1872,0,1872,1357.0966666666666,0,"2017/03",2019-11-24 21:48:39,8
589,AUGUSTO CARRERAS,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,4200,0,4200,4200,0,"2019/01",2019-11-24 21:48:50,1
312,JÚNIOR BOCÃO,0,0,0,0,0,0,0,4699.81,0,0,0,0,0,0,4699.81,99.81,4600,3653.0516666666667,0,"2017/12",2019-11-24 21:48:44,6
382,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017/10",2019-11-24 21:48:45,28
462,WANDERSON SOBRAL,2400,0,0,0,0,0,0,2340,0,0,0,0,0,0,4740,140,4600,3300,0,"2017/06",2019-11-24 21:48:47,2
342,MARCOS DI BRIA,3000,0,0,0,0,0,0,1680,0,0,0,0,0,0,4680,80,4600,3293.3333333333335,0,"2017/06",2019-11-24 21:48:45,38
82,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,3789.0380000000005,0,"2017/10",2019-11-24 21:48:40,20
79,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,3441.4828571428575,0,"2017/07",2019-11-24 21:48:40,20
81,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,3698.9311111111115,0,"2017/09",2019-11-24 21:48:40,20
83,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,3862.7618181818184,0,"2017/11",2019-11-24 21:48:40,20
84,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,3924.1983333333337,0,"2017/12",2019-11-24 21:48:40,20
709,GILBERTO ALVES,0,0,0,0,0,0,0,2550,0,0,3000,0,0,0,5550,950,4600,4600,0,"2019/01",2019-11-24 21:48:52,5
457,WANDERSON SOBRAL,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,400,2000,2000,0,"2017/01",2019-11-24 21:48:47,2
793,JÚNIOR BOCÃO,0,0,0,0,0,0,0,4699.91,0,0,0,0,0,0,4699.91,99.91,4600,4600,0,"2019/01",2019-11-24 21:48:55,6
451,ROMERO ALBUQUERQUE,1800,0,0,0,0,0,0,3306.77,0,0,0,0,0,0,5106.77,506.77,4600,3485.714285714286,0,"2017/07",2019-11-24 21:48:47,10
1054,ALMIR FERNANDO,0,0,0,0,0,210.34,0,0,0,2000,510,0,0,0,2720.34,4.63,2715.71,3639.939,0,"2018/10",2019-11-24 21:49:00,8
448,ROMERO ALBUQUERQUE,0,0,0,0,0,0,0,5343,0,0,0,0,0,0,5343,743,4600,2650,0,"2017/04",2019-11-24 21:48:47,10
889,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/01",2019-11-24 21:48:57,28
301,JÚNIOR BOCÃO,0,0,0,0,0,0,0,0,0,0,1979.34,0,0,0,1979.34,55.92,1923.4199999999998,1923.4199999999998,0,"2017/01",2019-11-24 21:48:44,6
925,ROMERINHO JATOBÁ ,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,4650,50,4600,4600,0,"2019/01",2019-11-24 21:48:57,3
1045,ALMIR FERNANDO,1324,0,0,0,0,197.36,0,0,2400.87,0,530,0,0,0,4452.23,0,4452.23,4452.23,0,"2018/01",2019-11-24 21:49:00,8
592,AUGUSTO CARRERAS,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,4200,0,4200,4200,0,"2019/04",2019-11-24 21:48:50,1
449,ROMERO ALBUQUERQUE,1800,0,0,0,0,0,0,3306.77,0,0,379.2,0,0,0,5485.97,885.9700000000003,4600,3040,0,"2017/05",2019-11-24 21:48:47,10
1309,MARÍLIA ARRAES,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3720,0,"2018/01",2019-11-24 21:49:05,16
1240,HÉLIO GUABIRARA,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,6000,1400,4600,4600,0,"2018/04",2019-11-24 21:49:04,37
986,ADERALDO OLIVEIRA,0,0,0,0,0,0,0,4060,0,0,0,0,0,617,4677,77,4600,4475,0,"2018/02",2019-11-24 21:48:59,40
1381,RICARDO CRUZ,2000,0,0,0,0,0,0,1674,0,0,0,0,0,0,3674,0,3674,3674,0,"2018/01",2019-11-24 21:49:07,17
697,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4600,0,"2019/01",2019-11-24 21:48:52,29
145,CARLOS GUEIROS,900,195.11,0,0,0,0,0,0,0,0,907.15,0,0,0,2002.2600000000002,2.26,2000.0000000000002,2000.0000000000002,0,"2017/01",2019-11-24 21:48:41,18
1060,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,3450,0,"2018/04",2019-11-24 21:49:01,20
1071,ANA LÚCIA,0,0,0,0,0,0,0,4620,0,0,0,0,0,0,4620,20,4600,4504,0,"2018/03",2019-11-24 21:49:01,36
641,DAIZE MICHELE,0,0,0,0,0,0,0,0,0,3500,330.55,0,0,710,4540.55,0,4540.55,4542.84,0,"2019/05",2019-11-24 21:48:51,43
768,JAIRO BRITTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/12",2019-11-24 21:48:54,23
877,RICARDO CRUZ,2000,0,0,0,0,0,0,2170,0,0,0,0,0,0,4170,0,4170,4170,0,"2019/01",2019-11-24 21:48:57,17
983,WILTON BRITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/11",2019-11-24 21:48:59,30
193,EDUARDO CHERA,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,1200,2000,2000,0,"2017/01",2019-11-24 21:48:42,35
76,AMARO CIPRIANO,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,4704,104,4600,2572.5950000000003,0,"2017/04",2019-11-24 21:48:40,20
1022,ALCIDES TEIXEIRA NETO,1500,0,290.74,81.36,0,164.86,0,2800,0,0,0,0,0,0,4836.96,236.96,4600,4600,0,"2018/02",2019-11-24 21:49:00,45
769,JAYME ASFORA,3150,0,0,0,0,366.66,0,0,0,0,280.3,0,0,0,3796.96,47,3749.96,3749.96,0,"2019/01",2019-11-24 21:48:54,12
45,ALCIDES TEIXEIRA NETO,1500,0,110.89,81.36,0,155.92,0,2800,0,0,0,0,0,0,4648.17,48.17,4600,3711.0444444444447,0,"2017/09",2019-11-24 21:48:38,45
373,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017/01",2019-11-24 21:48:45,28
662,EDUARDO CHERA,3200,0,0,0,0,0,0,1400,0,0,0,0,0,0,4600,0,4600,4600,0,"2019/02",2019-11-24 21:48:52,35
170,DAVI MUNIZ,0,0,0,0,0,0,0,0,0,0,2050,0,0,0,2050,764.55,1285.45,1642.725,0,"2017/02",2019-11-24 21:48:41,21
128,AUGUSTO CARRERAS,0,0,0,0,0,0,0,4590,0,0,0,0,0,0,4590,0,4590,3026.25,0,"2017/08",2019-11-24 21:48:41,1
627,CHICO KIKO,938.34,0,203.67,0,0,0,0,0,0,3500,0,0,0,0,4642.01,42.01,4600,4574.453333333334,0,"2019/03",2019-11-24 21:48:51,22
