"id","vereador","total_vantagens","descontos_totais","valor_liquido","data","timestamp","id_vereador"
441,IVAN V DE MORAES FILHO,14635,3544.25,11090.75,"2017/07",2019-11-23 12:25:41,41
479,IVAN V DE MORAES FILHO,14635,3571.48,11063.52,"2017/02",2019-11-23 12:25:41,41
432,DAIZE MICHELE DE A. GONCALVES,14635,7781.1,6853.9,"2017/07",2019-11-23 12:25:40,43
405,LUIZ FELIPE CAMARA DE O PONTES,29270,7942.76,21327.24,"2017/12",2019-11-23 12:25:40,44
443,LUIZ FELIPE CAMARA DE O PONTES,14635,4346.38,10288.62,"2017/07",2019-11-23 12:25:41,44
422,ALCIDES TEIXEIRA NETO,14635,8059.77,6575.23,"2017/07",2019-11-23 12:25:40,45
460,ALCIDES TEIXEIRA NETO,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,45
467,AUGUSTO JOSE C C ALBUQUERQUE,14635,3519.34,11115.66,"2017/02",2019-11-23 12:25:41,1
440,INALDO GERSON P FREIRES,14635,8498.82,6136.18,"2017/07",2019-11-23 12:25:41,6
478,INALDO GERSON P FREIRES,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,6
413,RINALDO ALVES DE L JUNIOR,29270,6879.94,22390.06,"2017/12",2019-11-23 12:25:40,28
404,JAIRO XAVIER DE BRITTO,29270,7192.76,22077.24,"2017/12",2019-11-23 12:25:40,23
514,GILBERTO DARIO DE MELO ALVES,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,5
552,GILBERTO DARIO DE MELO ALVES,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,5
516,INALDO GERSON P FREIRES,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,6
513,FREDERICO M DE M S FERREIRA,14635,2828.07,11806.93,"2019/01",2019-11-23 12:25:42,29
506,BENJAMIM G DA SILVA JUNIOR,14635,3077.07,11557.93,"2019/01",2019-11-23 12:25:42,6
551,FREDERICO M DE M S FERREIRA,14635,2822.21,11812.79,"2019/06",2019-11-23 12:25:43,29
