"id","nome","tipo","abertura","encerramento","data_sessao","lista_de_presenca","timestamp"
14,"92ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 23 de Outubro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/10/23",{Não há presenças registradas na abertura da Sessão.},2019-11-21 01:52:02
15,"91ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 22 de Outubro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/10/22","{Aderaldo Pinto/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Augusto Carreras/PSB,Carlos Gueiros/PSB,Chico Kiko/PP,Davi Muniz/PATRIOTAS,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,João da Costa/PT,Júnior Bocão/PSDB,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/}",2019-11-21 01:52:07
16,"90ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 21 de Outubro de 2019 (Segunda-feira)",Ordinária,"15:00","18:00","2019/10/21","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Augusto Carreras/PSB,Benjamim da Saúde/PATRIOTAS,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Marques/PSB,Eriberto Rafael/PTC,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,João da Costa/PT,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Missionária Michele Collins/PP,Professora Ana Lúcia/PRB,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Wilton Brito/PP}",2019-11-21 01:52:16
17,"89ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 16 de Outubro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/10/16","{Aderaldo Pinto/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Chera/PSC,Eriberto Rafael/PTC,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jayme Asfora/,Júnior Bocão/PSDB,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Romerinho Jatobá/PROS,Samuel Salazar/}",2019-11-21 01:52:19
18,"88ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 15 de Outubro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/10/15","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,André Régis/PSDB,Antonio Luiz Neto/PTB,Augusto Carreras/PSB,Benjamim da Saúde/PATRIOTAS,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jairo Britto/PT,Jayme Asfora/,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Missionária Michele Collins/PP,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Romerinho Jatobá/PROS,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:52:24
19,"17ª Sessão Extraordinária da 3ª Sessão Legislativa da 17ª Legislatura 15 de Outubro de 2019 (Terça-feira)",Extraordinária,"16:00","18:00","2019/10/15",{Não há presenças registradas na abertura da Sessão.},2019-11-21 01:52:26
20,"87ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 14 de Outubro de 2019 (Segunda-feira)",Ordinária,"15:00","18:00","2019/10/14","{Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Augusto Carreras/PSB,Benjamim da Saúde/PATRIOTAS,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Chera/PSC,Eriberto Rafael/PTC,Felipe Francismar/PSB,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jairo Britto/PT,Jayme Asfora/,João da Costa/PT,Júnior Bocão/PSDB,Missionária Michele Collins/PP,Professora Ana Lúcia/PRB,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Romerinho Jatobá/PROS,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:52:33
21,"86ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 09 de Outubro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/10/09","{Aderaldo Pinto/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jairo Britto/PT,Jayme Asfora/,João da Costa/PT,Júnior Bocão/PSDB,Missionária Michele Collins/PP,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Samuel Salazar/}",2019-11-21 01:52:37
22,"85ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 08 de Outubro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/10/08","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jayme Asfora/,João da Costa/PT,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Missionária Michele Collins/PP,Natália de Menudo/PSB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Samuel Salazar/}",2019-11-21 01:52:42
23,"84ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 07 de Outubro de 2019 (Segunda-feira)",Ordinária,"15:00","18:00","2019/10/07","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Benjamim da Saúde/PATRIOTAS,Carlos Gueiros/PSB,Chico Kiko/PP,Davi Muniz/PATRIOTAS,Eduardo Chera/PSC,Eriberto Rafael/PTC,Felipe Francismar/PSB,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jayme Asfora/,Missionária Michele Collins/PP,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:52:48
24,"16ª Sessão Extraordinária da 3ª Sessão Legislativa da 17ª Legislatura 07 de Outubro de 2019 (Segunda-feira)",Extraordinária,"16:00","18:00","2019/10/07",{Não há presenças registradas na abertura da Sessão.},2019-11-21 01:52:50
25,"83ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 02 de Outubro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/10/02","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,André Régis/PSDB,Antonio Luiz Neto/PTB,Carlos Gueiros/PSB,Chico Kiko/PP,Davi Muniz/PATRIOTAS,Eduardo Chera/PSC,Eriberto Rafael/PTC,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Ivan Moraes/PSOL,Jayme Asfora/,Júnior Bocão/PSDB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:52:55
26,"82ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 01 de Outubro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/10/01","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Carlos Gueiros/PSB,Chico Kiko/PP,Eduardo Chera/PSC,Eduardo Marques/PSB,Felipe Francismar/PSB,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jayme Asfora/,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:53:00
